,table_id,column_id,labels,data,label_ids
10,23154307-1,1,['organization.organization.headquarters-location.mailing_address.citytown'],Johannesburg Johannesburg 1 Durban Johannesburg Durban Johannesburg Port Elizabeth Mafikeng Potchefstroom Johannesburg Johannesburg Grahamstown Johannesburg Cape Town Midrand Pretoria Polokwane Cape Town Cape Town Bloemfontein Johannesburg Johannesburg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,23157261-15,0,[],Bangkok Dundee Arvika Suffolk Byron Bay Incheon Niigata Oslo Kiewit- Hasselt Biddinghuizen Edinburgh Cornwall Jersey Landgraaf Isle of Wight Bonn Tuttlingen Scheeßel Werchter St. Gallen Kinross Salzburg Chelmsford South Staffordshire,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,23157261-15,1,['location.location.containedby'],Thailand Sweden South Korea Netherlands Austria,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,23166636-3,0,[],Ingeborg of Mecklenburg Catherine Elisabeth of Brunswick-Lüneburg Dorothea of Brandenburg Christina of Saxony Isabella of Austria Anna of Brandenburg Sophie of Pomerania Dorothea of Saxe-Lauenburg Sophie of Mecklenburg-Güstrow Anne Catherine of Brandenburg Sophie Amalie of Brunswick-Lüneburg Charlotte Amalie of Hesse-Kassel Louise of Mecklenburg-Güstrow Anne Sophie Reventlow Sophia Magdalene of Brandenburg-Kulmbach Louise of Great Britain Juliana Maria of Brunswick-Wolfenbüttel Caroline Matilda of Great Britain Marie Sophie of Hesse-Kassel Caroline Amalie of Schleswig-Holstein-Sonderburg-Augustenburg Adelheid of Hohenlohe-Langenburg Dorothea of Saxe-Coburg and Gotha Karoline Mathilde of Schleswig-Holstein-Sonderburg-Augustenburg Marie Melita of Hohenlohe-Langenburg Marie Alix of Schaumburg-Lippe Elisabeth of Lippe-Weissenfeld,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,23166636-3,1,['people.person.parents'],"Albert II, Duke of Mecklenburg ( Mecklenburg ) Magnus II, Duke of Brunswick-Lüneburg ( Brunswick-Lüneburg ) John, Margrave of Brandenburg-Kulmbach ( Hohenzollern ) Ernest, Elector of Saxony ( Wettin ) Philip I of Castile ( Habsburg ) John Cicero, Elector of Brandenburg ( Hohenzollern ) Bogislaw X, Duke of Pomerania ( Pomerania ) Magnus I, Duke of Saxe-Lauenburg ( Ascania ) Ulrich III, Duke of Mecklenburg-Güstrow ( Mecklenburg-Güstrow ) Joachim III Frederick, Elector of Brandenburg ( Hohenzollern ) George, Duke of Brunswick-Lüneburg ( Welf ) William VI, Landgrave of Hesse-Kassel ( Hesse-Kassel ) Gustav Adolf, Duke of Mecklenburg-Güstrow ( Mecklenburg-Güstrow ) Conrad, Count Reventlow ( Reventlow ) Christian Heinrich, Margrave of Brandenburg-Bayreuth-Kulmbach ( Hohenzollern ) George II of Great Britain ( Hanover ) Ferdinand Albert II, Duke of Brunswick-Wolfenbüttel ( Brunswick-Bevern ) Frederick, Prince of Wales ( Hanover ) Landgrave Charles of Hesse-Kassel ( Hesse-Kassel ) Frederick Christian II, Duke of Schleswig-Holstein-Sonderburg-Augustenburg ( Schleswig-Holstein-Sonderburg-Augustenburg ) Christian Conrad Sophus, Gount of Danneskjold-Samsöe ( Danneskiold-Samsøe ) Ernst, Prince of Hohenlohe-Langenburg ( Hohenlohe-Langenburg ) Prince Philipp of Saxe-Coburg and Gotha ( Saxe-Coburg and Gotha ) Frederick VIII, Duke of Schleswig-Holstein ( Schleswig-Holstein-Sonderburg-Augustenburg ) Ernst II, Prince of Hohenlohe-Langenburg ( Hohenlohe-Langenburg ) Prince Stephan Alexander Viktor of Schaumburg-Lippe ( Schaumburg-Lippe ) Alfred, Prince of Lippe-Weissenfeld ( Lippe-Weissenfeld )","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,23166636-3,2,['people.person.spouse_s-people.marriage.spouse'],Spouse Adolf Spouse Christian I John Christian II Frederick I Frederick I Christian III Frederick II Christian IV Frederick III Christian V Frederick IV Frederick IV Christian VI Frederick V Frederick V Christian VII Frederick VI Christian VIII Spouse Christian Augustus Frederick VIII Ernst Gunther Frederick Ferdinand William Frederick Peter Christoph,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,13570080-1,0,[],ASVEL Lyon-Villeurbanne Akasvayu Girona ALBA Berlin Antwerp Giants Anwil Włocławek Artland Dragons ASCO Śląsk Wrocław ASK Riga Azovmash Mariupol BC Kyiv Benetton Fribourg Benetton Treviso Beşiktaş Cola Turka BK Ventspils ČEZ Nymburk CSU Asesoft Deutsche Bank Skyliners DKV Joventut Dynamo Moscow EiffelTowers Elan Chalon Fortitudo Bologna Gran Canaria Galatasaray Café Crown Guildford Heat Hanzevast Capitals Hapoel Galil Elyon Hapoel Jerusalem Khimki KK Bosna KK Budućnost Podgorica KK FMP KK Hemofarm Köln 99ers Ludwigsburg Lukoil Academic Ovarense Aerosoles Pamesa Valencia Panellinios GS Panionios Forthnet Pau-Orthez PGE Turów Zgorzelec Red Star Belgrade Šiauliai Nancy Spirou Charleroi Strasbourg Swans Gmunden Telindus Oostende Triumph Lyubertsy Türk Telekom UNICS Kazan Zadar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,13570080-1,1,['sports.sports_team.location'],"Villeurbanne , France Girona , Spain Berlin , Germany Antwerp , Belgium Włocławek , Poland Quakenbrück , Germany Wrocław , Poland Riga , Latvia Mariupol , Ukraine Tallinn , Estonia Kiev , Ukraine Fribourg , Switzerland Treviso , Italy Istanbul , Turkey Ventspils , Latvia Nymburk , Czech Republic Ploieşti , Romania Frankfurt , Germany Badalona , Spain Moscow , Russia Den Bosch , Netherlands Chalon-sur-Saône , France Bologna , Italy Las Palmas , Spain Istanbul , Turkey Guildford , United Kingdom Groningen , Netherlands Kfar Blum , Israel Jerusalem , Israel Khimki , Russia Sarajevo , Bosnia and Herzegovina Podgorica , Montenegro Belgrade , Serbia Vršac , Serbia Cologne , Germany Ludwigsburg , Germany Sofia , Bulgaria Ovar , Portugal Valencia , Spain Kypseli , Greece Athens , Greece Pau , France Zgorzelec , Poland Belgrade , Serbia Šiauliai , Lithuania Nancy , France Charleroi , Belgium Strasbourg , France Gmunden , Austria Oostende , Belgium Lyubertsy , Russia Ankara , Turkey Kazan , Russia Zadar , Croatia","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,13570115-1,0,[],"Roger Clemens Lance Parrish Wally Joyner Lou Whitaker Wade Boggs Cal Ripken, Jr. Kirby Puckett Dave Winfield Rickey Henderson","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,13570115-1,1,"['sports.pro_athlete.teams-sports.sports_team_roster.position', 'baseball.baseball_player.position_s']",P C 1B 2B 3B SS OF OF OF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,13570115-1,2,['baseball.baseball_player.batting_stats-baseball.batting_statistics.team'],Red Sox Tigers Angels Tigers Red Sox Orioles Twins Yankees Yankees,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,13570115-5,0,[],Sid Fernandez John Franco Mike Krukow Shane Rawley Jeff Reardon Rick Rhoden Mike Scott Dave Smith Fernando Valenzuela,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,13570115-5,1,['baseball.baseball_player.position_s'],P P P P P P P P P,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,13570115-5,2,['baseball.baseball_player.batting_stats-baseball.batting_statistics.team'],Mets Reds Giants Phillies Expos Pirates Astros Astros Dodgers,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,13570115-6,0,[],Jody Davis Tony Pena Glenn Davis Steve Sax Chris Brown Hubie Brooks Kevin Bass Chili Davis Dave Parker Tim Raines,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
